County,netMigration,Year
Alameda,99999,2014
Alpine,22,2013
Amador,282,2014
Butte,124,2014
Calaveras,153,2014
Colusa,-105,2014
Contra Costa,6877,2014
Del Norte,-49,2014
El Dorado,1552,2014
Fresno,101,2014
Glenn,-118,2014
Humboldt,21,2014
Imperial,-89,2014
Inyo,-97,2014
Kern,-1188,2014
Kings,-448,2014
Lake,480,2014
Lassen,-197,2014
Los Angeles,-53670,2014
Madera,-384,2014
Marin,915,2014
Mariposa,106,2014
Mendocino,71,2014
Merced,-287,2014
Modoc,-41,2014
Mono,-2,2014
Monterey,-1976,2014
Napa,200,2014
Nevada,-414,2014
Orange,-9771,2014
Placer,2527,2014
Plumas,-79,2014
Riverside,10422,2014
Sacramento,2956,2014
San Benito,399,2014
San Bernardino,-99999,2014
San Diego,-5404,2014
San Francisco,-5797,2014
San Joaquin,3782,2014
San Luis Obispo,1164,2014
San Mateo,-1996,2014
Santa Barbara,-389,2014
Santa Clara,-11614,2014
Santa Cruz,-378,2014
Shasta,111,2014
Sierra,24,2014
Siskiyou,342,2014
Solano,1404,2014
Sonoma,2066,2014
Stanislaus,1745,2014
Sutter,-165,2014
Tehama,300,2014
Trinity,30,2014
Tulare,-1713,2014
Tuolumne,161,2014
Ventura,-1117,2014
Yolo,568,2014
Yuba,-328,2014
