Year,Period,Area,Adjusted,Preliminary,Unemployment Rate
"2010","Annual","Alameda County","Not Adj","Not Prelim","10.9"
"2010","Annual","Alpine County","Not Adj","Not Prelim","12.9"
"2010","Annual","Amador County","Not Adj","Not Prelim","14.1"
"2010","Annual","Butte County","Not Adj","Not Prelim","13.9"
"2010","Annual","Calaveras County","Not Adj","Not Prelim","14.4"
"2010","Annual","Colusa County","Not Adj","Not Prelim","20.8"
"2010","Annual","Contra Costa County","Not Adj","Not Prelim","11.0"
"2010","Annual","Del Norte County","Not Adj","Not Prelim","13.2"
"2010","Annual","El Dorado County","Not Adj","Not Prelim","12.2"
"2010","Annual","Fresno County","Not Adj","Not Prelim","16.7"
"2010","Annual","Glenn County","Not Adj","Not Prelim","15.4"
"2010","Annual","Humboldt County","Not Adj","Not Prelim","10.6"
"2010","Annual","Imperial County","Not Adj","Not Prelim","28.8"
"2010","Annual","Inyo County","Not Adj","Not Prelim","9.7"
"2010","Annual","Kern County","Not Adj","Not Prelim","15.7"
"2010","Annual","Kings County","Not Adj","Not Prelim","16.1"
"2010","Annual","Lake County","Not Adj","Not Prelim","15.1"
"2010","Annual","Lassen County","Not Adj","Not Prelim","14.0"
"2010","Annual","Los Angeles County","Not Adj","Not Prelim","12.5"
"2010","Annual","Madera County","Not Adj","Not Prelim","16.6"
"2010","Annual","Marin County","Not Adj","Not Prelim","7.9"
"2010","Annual","Mariposa County","Not Adj","Not Prelim","12.9"
"2010","Annual","Mendocino County","Not Adj","Not Prelim","11.6"
"2010","Annual","Merced County","Not Adj","Not Prelim","18.0"
"2010","Annual","Modoc County","Not Adj","Not Prelim","15.2"
"2010","Annual","Mono County","Not Adj","Not Prelim","10.2"
"2010","Annual","Monterey County","Not Adj","Not Prelim","12.7"
"2010","Annual","Napa County","Not Adj","Not Prelim","10.3"
"2010","Annual","Nevada County","Not Adj","Not Prelim","11.7"
"2010","Annual","Orange County","Not Adj","Not Prelim","9.7"
"2010","Annual","Placer County","Not Adj","Not Prelim","11.6"
"2010","Annual","Plumas County","Not Adj","Not Prelim","18.2"
"2010","Annual","Riverside County","Not Adj","Not Prelim","13.8"
"2010","Annual","Sacramento County","Not Adj","Not Prelim","12.6"
"2010","Annual","San Benito County","Not Adj","Not Prelim","15.1"
"2010","Annual","San Bernardino County","Not Adj","Not Prelim","13.5"
"2010","Annual","San Diego County","Not Adj","Not Prelim","10.8"
"2010","Annual","San Francisco County","Not Adj","Not Prelim","8.9"
"2010","Annual","San Joaquin County","Not Adj","Not Prelim","16.5"
"2010","Annual","San Luis Obispo County","Not Adj","Not Prelim","10.1"
"2010","Annual","San Mateo County","Not Adj","Not Prelim","8.4"
"2010","Annual","Santa Barbara County","Not Adj","Not Prelim","9.7"
"2010","Annual","Santa Clara County","Not Adj","Not Prelim","10.4"
"2010","Annual","Santa Cruz County","Not Adj","Not Prelim","13.3"
"2010","Annual","Shasta County","Not Adj","Not Prelim","16.8"
"2010","Annual","Sierra County","Not Adj","Not Prelim","15.3"
"2010","Annual","Siskiyou County","Not Adj","Not Prelim","16.8"
"2010","Annual","Solano County","Not Adj","Not Prelim","12.6"
"2010","Annual","Sonoma County","Not Adj","Not Prelim","10.8"
"2010","Annual","Stanislaus County","Not Adj","Not Prelim","16.9"
"2010","Annual","Sutter County","Not Adj","Not Prelim","18.4"
"2010","Annual","Tehama County","Not Adj","Not Prelim","15.4"
"2010","Annual","Trinity County","Not Adj","Not Prelim","17.0"
"2010","Annual","Tulare County","Not Adj","Not Prelim","17.2"
"2010","Annual","Tuolumne County","Not Adj","Not Prelim","15.2"
"2010","Annual","Ventura County","Not Adj","Not Prelim","10.8"
"2010","Annual","Yolo County","Not Adj","Not Prelim","12.1"
"2010","Annual","Yuba County","Not Adj","Not Prelim","17.8"
"2011","Annual","Alameda County","Not Adj","Not Prelim","10.1"
"2011","Annual","Alpine County","Not Adj","Not Prelim","12.8"
"2011","Annual","Amador County","Not Adj","Not Prelim","13.6"
"2011","Annual","Butte County","Not Adj","Not Prelim","13.7"
"2011","Annual","Calaveras County","Not Adj","Not Prelim","14.0"
"2011","Annual","Colusa County","Not Adj","Not Prelim","21.2"
"2011","Annual","Contra Costa County","Not Adj","Not Prelim","10.3"
"2011","Annual","Del Norte County","Not Adj","Not Prelim","13.3"
"2011","Annual","El Dorado County","Not Adj","Not Prelim","11.7"
"2011","Annual","Fresno County","Not Adj","Not Prelim","16.5"
"2011","Annual","Glenn County","Not Adj","Not Prelim","15.5"
"2011","Annual","Humboldt County","Not Adj","Not Prelim","10.6"
"2011","Annual","Imperial County","Not Adj","Not Prelim","28.9"
"2011","Annual","Inyo County","Not Adj","Not Prelim","9.7"
"2011","Annual","Kern County","Not Adj","Not Prelim","14.8"
"2011","Annual","Kings County","Not Adj","Not Prelim","15.9"
"2011","Annual","Lake County","Not Adj","Not Prelim","14.5"
"2011","Annual","Lassen County","Not Adj","Not Prelim","13.5"
"2011","Annual","Los Angeles County","Not Adj","Not Prelim","12.2"
"2011","Annual","Madera County","Not Adj","Not Prelim","16.2"
"2011","Annual","Marin County","Not Adj","Not Prelim","7.3"
"2011","Annual","Mariposa County","Not Adj","Not Prelim","13.2"
"2011","Annual","Mendocino County","Not Adj","Not Prelim","11.4"
"2011","Annual","Merced County","Not Adj","Not Prelim","17.6"
"2011","Annual","Modoc County","Not Adj","Not Prelim","16.0"
"2011","Annual","Mono County","Not Adj","Not Prelim","10.1"
"2011","Annual","Monterey County","Not Adj","Not Prelim","12.7"
"2011","Annual","Napa County","Not Adj","Not Prelim","9.8"
"2011","Annual","Nevada County","Not Adj","Not Prelim","11.1"
"2011","Annual","Orange County","Not Adj","Not Prelim","9.1"
"2011","Annual","Placer County","Not Adj","Not Prelim","10.8"
"2011","Annual","Plumas County","Not Adj","Not Prelim","17.6"
"2011","Annual","Riverside County","Not Adj","Not Prelim","13.2"
"2011","Annual","Sacramento County","Not Adj","Not Prelim","12.1"
"2011","Annual","San Benito County","Not Adj","Not Prelim","14.5"
"2011","Annual","San Bernardino County","Not Adj","Not Prelim","12.9"
"2011","Annual","San Diego County","Not Adj","Not Prelim","10.3"
"2011","Annual","San Francisco County","Not Adj","Not Prelim","8.1"
"2011","Annual","San Joaquin County","Not Adj","Not Prelim","16.2"
"2011","Annual","San Luis Obispo County","Not Adj","Not Prelim","9.6"
"2011","Annual","San Mateo County","Not Adj","Not Prelim","7.5"
"2011","Annual","Santa Barbara County","Not Adj","Not Prelim","9.4"
"2011","Annual","Santa Clara County","Not Adj","Not Prelim","9.3"
"2011","Annual","Santa Cruz County","Not Adj","Not Prelim","13.1"
"2011","Annual","Shasta County","Not Adj","Not Prelim","15.9"
"2011","Annual","Sierra County","Not Adj","Not Prelim","14.9"
"2011","Annual","Siskiyou County","Not Adj","Not Prelim","17.0"
"2011","Annual","Solano County","Not Adj","Not Prelim","12.2"
"2011","Annual","Sonoma County","Not Adj","Not Prelim","10.2"
"2011","Annual","Stanislaus County","Not Adj","Not Prelim","16.5"
"2011","Annual","Sutter County","Not Adj","Not Prelim","18.2"
"2011","Annual","Tehama County","Not Adj","Not Prelim","15.0"
"2011","Annual","Trinity County","Not Adj","Not Prelim","16.7"
"2011","Annual","Tulare County","Not Adj","Not Prelim","17.1"
"2011","Annual","Tuolumne County","Not Adj","Not Prelim","14.5"
"2011","Annual","Ventura County","Not Adj","Not Prelim","10.2"
"2011","Annual","Yolo County","Not Adj","Not Prelim","11.8"
"2011","Annual","Yuba County","Not Adj","Not Prelim","17.0"
"2012","Annual","Alameda County","Not Adj","Not Prelim","8.7"
"2012","Annual","Alpine County","Not Adj","Not Prelim","11.2"
"2012","Annual","Amador County","Not Adj","Not Prelim","12.3"
"2012","Annual","Butte County","Not Adj","Not Prelim","12.2"
"2012","Annual","Calaveras County","Not Adj","Not Prelim","12.4"
"2012","Annual","Colusa County","Not Adj","Not Prelim","20.7"
"2012","Annual","Contra Costa County","Not Adj","Not Prelim","8.9"
"2012","Annual","Del Norte County","Not Adj","Not Prelim","13.5"
"2012","Annual","El Dorado County","Not Adj","Not Prelim","10.2"
"2012","Annual","Fresno County","Not Adj","Not Prelim","15.1"
"2012","Annual","Glenn County","Not Adj","Not Prelim","14.2"
"2012","Annual","Humboldt County","Not Adj","Not Prelim","9.6"
"2012","Annual","Imperial County","Not Adj","Not Prelim","27.4"
"2012","Annual","Inyo County","Not Adj","Not Prelim","9.1"
"2012","Annual","Kern County","Not Adj","Not Prelim","13.1"
