,County,netMigration,Year,netMigration2,netMigration3
43,Santa Cruz,14891,2014,14891,0
28,Nevada,13689,2014,13689,0
30,Placer,12651,2014,12651,0
40,San Mateo,12637,2014,12637,0
23,Merced,11459,2014,11459,0
37,San Francisco,10805,2014,10805,0
16,Lake,10095,2014,10095,0
56,Yolo,9710,2014,9710,0
47,Solano,9526,2014,9526,0
42,Santa Clara,9420,2014,9420,0
0,Alameda,8558,2014,8558,0
22,Mendocino,7506,2014,7506,0
12,Imperial,7278,2014,7278,0
29,Orange,7276,2014,7276,0
6,Contra Costa,7119,2014,7119,0
36,San Diego,6567,2014,6567,0
11,Humboldt,6494,2014,6494,0
38,San Joaquin,5778,2014,5778,0
33,Sacramento,4677,2014,4677,0
9,Fresno,4251,2014,4251,0
3,Butte,4076,2014,4076,0
49,Stanislaus,3824,2014,3824,0
48,Sonoma,3598,2014,3598,0
18,Los Angeles,3562,2014,3562,0
35,San Bernardino,3535,2014,3535,0
1,Alpine,3093,2013,3093,0
7,Del Norte,2698,2014,2698,0
20,Marin,2555,2014,2555,0
32,Riverside,2513,2014,2513,0
50,Sutter,2420,2014,2420,0
39,San Luis Obispo,2256,2014,2256,0
52,Trinity,2246,2014,2246,0
10,Glenn,2238,2014,2238,0
34,San Benito,2232,2014,2232,0
26,Monterey,2199,2014,2199,0
4,Calaveras,1983,2014,1983,0
51,Tehama,1962,2014,1962,0
46,Siskiyou,1947,2014,1947,0
5,Colusa,1921,2014,1921,0
19,Madera,1909,2014,1909,0
17,Lassen,1845,2014,1845,0
54,Tuolumne,1842,2014,1842,0
2,Amador,1834,2014,1834,0
44,Shasta,1744,2014,1744,0
31,Plumas,1627,2014,1627,0
55,Ventura,1605,2014,1605,0
45,Sierra,1602,2014,1602,0
57,Yuba,1602,2014,1602,0
25,Mono,1005,2014,1005,0
41,Santa Barbara,936,2014,936,0
15,Kings,868,2014,868,0
24,Modoc,826,2014,826,0
13,Inyo,621,2014,621,0
21,Mariposa,382,2014,382,0
8,El Dorado,305,2014,305,0
53,Tulare,280,2014,280,0
14,Kern,-1423,2014,0,1423
27,Napa,-5199,2014,0,5199
