,County,netMigration,Year,netMigration2,netMigration3
12,Imperial,28.8,2014,28.8,0
5,Colusa,20.8,2014,20.8,0
50,Sutter,18.4,2014,18.4,0
31,Plumas,18.2,2014,18.2,0
23,Merced,18,2014,18,0
57,Yuba,17.8,2014,17.8,0
53,Tulare,17.2,2014,17.2,0
52,Trinity,17,2014,17,0
49,Stanislaus,16.9,2014,16.9,0
44,Shasta,16.8,2014,16.8,0
46,Siskiyou,16.8,2014,16.8,0
9,Fresno,16.7,2014,16.7,0
19,Madera,16.6,2014,16.6,0
38,San Joaquin,16.5,2014,16.5,0
15,Kings,16.1,2014,16.1,0
14,Kern,15.7,2014,15.7,0
10,Glenn,15.4,2014,15.4,0
51,Tehama,15.4,2014,15.4,0
45,Sierra,15.3,2014,15.3,0
24,Modoc,15.2,2014,15.2,0
54,Tuolumne,15.2,2014,15.2,0
16,Lake,15.1,2014,15.1,0
34,San Benito,15.1,2014,15.1,0
4,Calaveras,14.4,2014,14.4,0
2,Amador,14.1,2014,14.1,0
17,Lassen,14,2014,14,0
3,Butte,13.9,2014,13.9,0
32,Riverside,13.8,2014,13.8,0
35,San Bernardino,13.5,2014,13.5,0
43,Santa Cruz,13.3,2014,13.3,0
7,Del Norte,13.2,2014,13.2,0
1,Alpine,12.9,2013,12.9,0
21,Mariposa,12.9,2014,12.9,0
26,Monterey,12.7,2014,12.7,0
33,Sacramento,12.6,2014,12.6,0
47,Solano,12.6,2014,12.6,0
18,Los Angeles,12.5,2014,12.5,0
8,El Dorado,12.2,2014,12.2,0
56,Yolo,12.1,2014,12.1,0
28,Nevada,11.7,2014,11.7,0
22,Mendocino,11.6,2014,11.6,0
30,Placer,11.6,2014,11.6,0
6,Contra Costa,11,2014,11,0
0,Alameda,10.9,2014,10.9,0
36,San Diego,10.8,2014,10.8,0
48,Sonoma,10.8,2014,10.8,0
55,Ventura,10.8,2014,10.8,0
11,Humboldt,10.6,2014,10.6,0
42,Santa Clara,10.4,2014,10.4,0
27,Napa,10.3,2014,10.3,0
25,Mono,10.2,2014,10.2,0
39,San Luis Obispo,10.1,2014,10.1,0
13,Inyo,9.7,2014,9.7,0
29,Orange,9.7,2014,9.7,0
41,Santa Barbara,9.7,2014,9.7,0
37,San Francisco,8.9,2014,8.9,0
40,San Mateo,8.4,2014,8.4,0
20,Marin,7.9,2014,7.9,0
