,Unnamed: 0,County,netMigration,Year,netMigration2,netMigration3
12,12,Imperial,28.9,2014,28.9,0
5,5,Colusa,21.2,2014,21.2,0
50,50,Sutter,18.2,2014,18.2,0
23,23,Merced,17.6,2014,17.6,0
31,31,Plumas,17.6,2014,17.6,0
53,53,Tulare,17.1,2014,17.1,0
46,46,Siskiyou,17,2014,17,0
57,57,Yuba,17,2014,17,0
52,52,Trinity,16.7,2014,16.7,0
9,9,Fresno,16.5,2014,16.5,0
49,49,Stanislaus,16.5,2014,16.5,0
19,19,Madera,16.2,2014,16.2,0
38,38,San Joaquin,16.2,2014,16.2,0
24,24,Modoc,16,2014,16,0
15,15,Kings,15.9,2014,15.9,0
44,44,Shasta,15.9,2014,15.9,0
10,10,Glenn,15.5,2014,15.5,0
51,51,Tehama,15,2014,15,0
45,45,Sierra,14.9,2014,14.9,0
14,14,Kern,14.8,2014,14.8,0
16,16,Lake,14.5,2014,14.5,0
34,34,San Benito,14.5,2014,14.5,0
54,54,Tuolumne,14.5,2014,14.5,0
4,4,Calaveras,14,2014,14,0
3,3,Butte,13.7,2014,13.7,0
2,2,Amador,13.6,2014,13.6,0
17,17,Lassen,13.5,2014,13.5,0
7,7,Del Norte,13.3,2014,13.3,0
21,21,Mariposa,13.2,2014,13.2,0
32,32,Riverside,13.2,2014,13.2,0
43,43,Santa Cruz,13.1,2014,13.1,0
35,35,San Bernardino,12.9,2014,12.9,0
1,1,Alpine,12.8,2013,12.8,0
26,26,Monterey,12.7,2014,12.7,0
18,18,Los Angeles,12.2,2014,12.2,0
47,47,Solano,12.2,2014,12.2,0
33,33,Sacramento,12.1,2014,12.1,0
56,56,Yolo,11.8,2014,11.8,0
8,8,El Dorado,11.7,2014,11.7,0
22,22,Mendocino,11.4,2014,11.4,0
28,28,Nevada,11.1,2014,11.1,0
30,30,Placer,10.8,2014,10.8,0
11,11,Humboldt,10.6,2014,10.6,0
6,6,Contra Costa,10.3,2014,10.3,0
36,36,San Diego,10.3,2014,10.3,0
48,48,Sonoma,10.2,2014,10.2,0
55,55,Ventura,10.2,2014,10.2,0
0,0,Alameda,10.1,2014,10.1,0
25,25,Mono,10.1,2014,10.1,0
27,27,Napa,9.8,2014,9.8,0
13,13,Inyo,9.7,2014,9.7,0
39,39,San Luis Obispo,9.6,2014,9.6,0
41,41,Santa Barbara,9.4,2014,9.4,0
42,42,Santa Clara,9.3,2014,9.3,0
29,29,Orange,9.1,2014,9.1,0
37,37,San Francisco,8.1,2014,8.1,0
40,40,San Mateo,7.5,2014,7.5,0
20,20,Marin,7.3,2014,7.3,0
