,County Name,GINI,Row,Space,Year,stusps
0,"Baldwin County, Alabama",0.428,7,8,2009,AL
1,"Baldwin County, Alabama",0.45899999999999996,7,8,2010,AL
2,"Baldwin County, Alabama",0.4324,7,8,2011,AL
3,"Baldwin County, Alabama",0.4371,7,8,2012,AL
4,"Baldwin County, Alabama",0.4727,7,8,2013,AL
5,"Baldwin County, Alabama",0.4648,7,8,2014,AL
6,"Baldwin County, Alabama",0.4722,7,8,2015,AL
7,"Baldwin County, Alabama",0.4498,7,8,2016,AL
8,"Baldwin County, Alabama",0.4363,7,8,2017,AL
9,"Calhoun County, Alabama",0.47200000000000003,7,8,2009,AL
10,"Calhoun County, Alabama",0.46,7,8,2010,AL
11,"Calhoun County, Alabama",0.45299999999999996,7,8,2011,AL
12,"Calhoun County, Alabama",0.4563,7,8,2012,AL
13,"Calhoun County, Alabama",0.467,7,8,2013,AL
14,"Calhoun County, Alabama",0.4561,7,8,2014,AL
15,"Calhoun County, Alabama",0.4219,7,8,2015,AL
16,"Calhoun County, Alabama",0.4692,7,8,2016,AL
17,"Calhoun County, Alabama",0.4892,7,8,2017,AL
18,"Cullman County, Alabama",0.434,7,8,2009,AL
19,"Cullman County, Alabama",0.473,7,8,2010,AL
20,"Cullman County, Alabama",0.4478,7,8,2011,AL
21,"Cullman County, Alabama",0.4453,7,8,2012,AL
22,"Cullman County, Alabama",0.4543,7,8,2013,AL
23,"Cullman County, Alabama",0.4533,7,8,2014,AL
24,"Cullman County, Alabama",0.4438,7,8,2015,AL
25,"Cullman County, Alabama",0.4518,7,8,2016,AL
26,"Cullman County, Alabama",0.4121,7,8,2017,AL
27,"DeKalb County, Alabama",0.46,7,8,2009,AL
28,"DeKalb County, Alabama",0.465,7,8,2010,AL
29,"DeKalb County, Alabama",0.4857,7,8,2011,AL
30,"DeKalb County, Alabama",0.4131,7,8,2012,AL
31,"DeKalb County, Alabama",0.39399999999999996,7,8,2013,AL
32,"DeKalb County, Alabama",0.4754,7,8,2014,AL
33,"DeKalb County, Alabama",0.4639,7,8,2015,AL
34,"DeKalb County, Alabama",0.4528,7,8,2016,AL
35,"DeKalb County, Alabama",0.4975,7,8,2017,AL
36,"Elmore County, Alabama",0.418,7,8,2009,AL
37,"Elmore County, Alabama",0.40299999999999997,7,8,2010,AL
38,"Elmore County, Alabama",0.4233,7,8,2011,AL
39,"Elmore County, Alabama",0.3744,7,8,2012,AL
40,"Elmore County, Alabama",0.4206,7,8,2013,AL
41,"Elmore County, Alabama",0.41600000000000004,7,8,2014,AL
42,"Elmore County, Alabama",0.462,7,8,2015,AL
43,"Elmore County, Alabama",0.4535,7,8,2016,AL
44,"Elmore County, Alabama",0.4307,7,8,2017,AL
45,"Etowah County, Alabama",0.423,7,8,2009,AL
46,"Etowah County, Alabama",0.449,7,8,2010,AL
47,"Etowah County, Alabama",0.4539,7,8,2011,AL
48,"Etowah County, Alabama",0.4467,7,8,2012,AL
49,"Etowah County, Alabama",0.4351,7,8,2013,AL
50,"Etowah County, Alabama",0.4374,7,8,2014,AL
51,"Etowah County, Alabama",0.4125,7,8,2015,AL
52,"Etowah County, Alabama",0.4477,7,8,2016,AL
53,"Etowah County, Alabama",0.4657,7,8,2017,AL
54,"Houston County, Alabama",0.478,7,8,2009,AL
55,"Houston County, Alabama",0.45399999999999996,7,8,2010,AL
56,"Houston County, Alabama",0.4782,7,8,2011,AL
57,"Houston County, Alabama",0.4888,7,8,2012,AL
58,"Houston County, Alabama",0.4675,7,8,2013,AL
59,"Houston County, Alabama",0.4812,7,8,2014,AL
60,"Houston County, Alabama",0.4854,7,8,2015,AL
61,"Houston County, Alabama",0.4799,7,8,2016,AL
62,"Houston County, Alabama",0.4805,7,8,2017,AL
63,"Jefferson County, Alabama",0.494,7,8,2009,AL
64,"Jefferson County, Alabama",0.489,7,8,2010,AL
