CIK,OFFER_TYPE,NAME,LOCATION,SYMBOL,EXCHANGE,FILING_DATE,PRICE_LOW,PRICE_HIGH,AMOUNT,UWRITERS
1451809,IPO,SiTime Corp.,"Santa Clara, CA",SITM,Nasdaq NM,2019-10-23,13,15,$74.2 mil.,"Barclays Capital, Stifel, Needham & Company, Raymond James, Roth Capital Partners"
1770236,IPO,"Moving iMage Technologies, Inc.","Fountain Valley, CA",MITQ,NYSE,2019-10-11,4,4.5,$10.9 mil.,"Westpark Capital, Inc., Boustead Securities"
1785173,IPO,"89bio, Inc.","San Francisco, CA",ETNB,Nasdaq NM,2019-10-11,15,17,$85.5 mil.,"BofA Merrill Lynch, SVB Leerink, RBC Capital Markets, Oppenheimer & Co. Inc."
1650648,IPO,4D Molecular Therapeutics Inc,"Emeryville, CA",DDDD,Nasdaq NM,2019-09-30,-,-,$100.0 mil.,"Goldman Sachs & Co., Evercore ISI, William Blair & Co., Chardan Capital Markets"
1781162,IPO,Stable Road Acquisition Corp.,"Venice, CA",SRACU,Nasdaq NM,2019-09-27,10,-,$150.0 mil.,Cantor
1758021,IPO,Karat Packaging Inc.,"Chino, CA",KRAT,Nasdaq NM,2019-09-17,7,9,$50.0 mil.,"National Securities, Loop Capital Markets, LLC"
1706431,IPO,"Vir Biotechnology, Inc.","San Francisco, CA",VIR,Nasdaq NM,2019-09-03,20,22,$180.7 mil.,"Goldman Sachs & Co., J.P. Morgan, Cowen, Barclays Capital"
1274737,IPO,"Exagen Diagnostics, Inc.","Vista, CA",XGN,Nasdaq NM,2019-08-23,14,16,$61.3 mil.,"Cowen, Cantor, William Blair & Co."
1770787,IPO,"10x Genomics, Inc.","Pleasanton, CA",TXG,Nasdaq NM,2019-08-19,36,38,$393.3 mil.,"J.P. Morgan, Goldman Sachs & Co., BofA Merrill Lynch, Cowen"
1496323,IPO,"IGM Biosciences, Inc.","Mountain View, CA",IGMS,Nasdaq NM,2019-08-19,15,17,$213.8 mil.,"Jefferies, Piper Jaffray, Stifel, Guggenheim Securities"
1692830,IPO,"Satsuma Pharmaceuticals, Inc.","South San Francisco, CA",STSA,Nasdaq NM,2019-08-16,14,16,$92.0 mil.,"Credit Suisse, SVB Leerink, Evercore ISI"
1477333,IPO,"Cloudflare, Inc.","San Francisco, CA",NET,NYSE,2019-08-15,12,14,$563.5 mil.,"Goldman Sachs & Co., Morgan Stanley, J.P. Morgan, Jefferies, Wells Fargo Securities, RBC Capital Markets, JMP Securities, Evercore ISI, Needham & Company, Oppenheimer & Co. Inc., BTIG, SunTrust Robinson Humphrey"
1777921,IPO,Apex Technology Acquisition Corp,"Burlingame, CA",APTX.U,Nasdaq NM,2019-08-15,10,-,$275.0 mil.,Cantor
1599738,IPO,"HYLETE, Inc.","Solana Beach, CA",HYLT,NYSE,2019-08-06,8,10,$17.3 mil.,"Maxim Group LLC, Westpark Capital, Inc."
1771077,IPO,"Telemynd, Inc.","Mission Viejo, CA",PSYC,Nasdaq NM,2019-07-23,5.5,6.5,$10.5 mil.,Aegis Capital Corp.
1757073,IPO,Envista Holdings Corp,"Brea, CA",NVST,NYSE,2019-07-22,21,24,$738.8 mil.,"J.P. Morgan, Goldman Sachs & Co., Morgan Stanley, Baird, Evercore ISI, Jefferies, BofA Merrill Lynch, Credit Suisse, Stifel, William Blair & Co."
1538716,IPO,Oportun Financial Corp,"San Carlos, CA",OPRT,Nasdaq NM,2019-07-17,15,17,$122.2 mil.,"Barclays Capital, J.P. Morgan, Jefferies, Keefe, Bruyette & Woods, JMP Securities, BTIG"
1691077,IPO,"YayYo, Inc.","Beverly Hills, CA",YAYO,Nasdaq NM,2019-07-15,4,-,$11.5 mil.,Aegis Capital Corp.
1673772,IPO,"RAPT Therapeutics, Inc.","South San Francisco, CA",RAPT,Nasdaq NM,2019-07-05,12,14,$92.0 mil.,"BofA Merrill Lynch, Wells Fargo Securities, UBS Investment Bank"
1772177,IPO,"Kura Sushi USA, Inc.","Irvine, CA",KRUS,Nasdaq NM,2019-07-03,14,16,$53.4 mil.,"BMO Capital Markets, Stephens, Inc., BTIG, Roth Capital Partners, Maxim Group LLC"
1639225,IPO,"Livongo Health, Inc.","Mountain View, CA",LVGO,Nasdaq NM,2019-06-28,24,26,$283.0 mil.,"Morgan Stanley, Goldman Sachs & Co., J.P. Morgan, Piper Jaffray, SVB Leerink, Canaccord Genuity   , KeyBanc Capital Markets, Needham & Company"
